point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1y1y,1,2,4.224385855825311,5.361518025986305,1.7730272940961824,3.4074659787417687,5.3056719335459634,0.26447769991171727,5.179789031315615,3.784202750354295,4.248554618086187
1y2y,1,3,4.111761223309926,4.52280927508695,1.7388316384741092,3.203455677651142,4.997744764052406,0.3620619904232202,4.8770828687565775,3.5541391809884764,3.961505941427621
1y3y,1,4,4.090528232410726,4.256394454578097,1.7140145417802757,3.0900083048645426,4.77217866630844,0.4384919117777896,4.708589088954029,3.3971166844332457,3.823227709972104
1y4y,1,5,4.128206249170413,4.04577747558754,1.69714230674232,3.031763792197626,4.5960620932101035,0.516355074734812,4.6286074964065715,3.28857099888671,3.7534707496483697
1y5y,1,6,4.196766171423056,4.016942422192227,1.6977250188895419,3.003954154179588,4.459286115554864,0.6022540113407094,4.59739532584284,3.223216528238822,3.720893642021296
1y6y,1,7,4.268208660045924,3.9830939480898366,1.7028226529132668,2.9922124274114905,4.354936958814115,0.6918978267958023,4.587697821475031,3.1931860334984483,3.7006656355252363
1y7y,1,8,4.332347295873213,3.923637930763203,1.711930663928889,2.991556863407061,4.2792073186006405,0.7704920602654262,4.590651356975672,3.171305751210402,3.690398601475254
1y8y,1,9,4.385224251860317,3.9622364879896996,1.7164814178067243,2.9985712776026734,4.224960145477761,0.8429243692247682,4.59688079370897,3.14611483309543,3.68936796986974
1y9y,1,10,4.4267751178324035,3.9590606172092735,1.7292734449913576,3.011028159944632,4.191712047145824,0.9111782352931036,4.610510429004978,3.1516030334476537,3.6913163043842707
1y10y,1,11,4.462438823949923,3.9556890726635254,1.7432822594212884,3.0254634683559583,4.168411940183767,0.974438704660999,4.628119984873757,3.1591045270082247,3.697206521724577
1y11y,1,12,4.493221537650513,3.969230547083228,1.7554708755636368,3.039452995102855,4.150883100828588,1.0330126574044032,4.648149009735899,3.1596520533485446,3.706355272201077
1y12y,1,13,4.51857996924862,3.9926338783310027,1.7656535632333707,3.0508736551593434,4.137567719058332,1.0875251226080298,4.670201739385041,3.1543783179929084,3.7169189796019673
1y13y,1,14,4.537918442196062,4.018950053554326,1.7736090590556506,3.057527432360294,4.126833074592335,1.1385867634484539,4.693769844948726,3.1442177729254372,3.7269297297317343
1y14y,1,15,4.5506075144977975,4.041298065530249,1.7790932365794068,3.057167923922967,4.116998240157132,1.1867987919531244,4.71827269701694,3.1299774446443362,3.734339756374306
1y15y,1,16,4.556203936800664,4.054318605165971,1.7819703153836508,3.0482310442978067,4.10667590574009,1.2325198661508376,4.743164893909476,3.112410363515676,3.7374646763153963
1y16y,1,17,4.555077535623371,4.058539028665054,1.7825845906392714,3.0319680234805975,4.095749781783967,1.2751675370730438,4.768198815310571,3.0923339497557447,3.7362369187242583
1y17y,1,18,4.547780397823264,4.055874407598157,1.7813874208072356,3.0102768805229787,4.084390151450354,1.3139383454238773,4.793180721292669,3.0705531758767517,3.730948999521445
1y18y,1,19,4.5348439471179045,4.048166329499043,1.7788173614499334,2.985001776820615,4.072736741056192,1.3480414500367317,4.817895014327565,3.047841541419071,3.7218496973668524
1y19y,1,20,4.516784385796839,4.037202556726878,1.7753035549117626,2.9579476279232146,4.0609067636314204,1.3766952475593324,4.842110009093841,3.024949409717162,3.7091555536701106
1y20y,1,21,4.49422578968657,4.024357066617687,1.7712051232348103,2.930628284444182,4.048981546466086,1.3994092956759787,4.865576688071481,3.0024358331049354,3.6931725482530915
1y21y,1,22,4.468258561761284,4.009485228682227,1.766625051607466,2.9034921754534784,4.036953877497427,1.4168302140731321,4.8880158357505366,2.9801537702757814,3.674640711571909
1y22y,1,23,4.440080624696667,3.9920613102909432,1.761601986025196,2.876719849050079,4.0247884164075325,1.429879583565447,4.90913611873982,2.957779530747301,3.6543945660133046
1y23y,1,24,4.410880340052876,3.9715551922256975,1.7561737687459587,2.8504882961711964,4.0124427530662246,1.439470428995955,4.92864088193197,2.934988041407423,3.633253258226845
1y24y,1,25,4.381838602354487,3.9474331529870823,1.7503776065702237,2.824971705326805,3.999868875969665,1.4465090570427745,4.946229258475583,2.9114531170505584,3.6120238131701377
1y25y,1,26,4.353891002184906,3.9193876372719147,1.7442554866233373,2.8002822781203602,3.9870303075476365,1.4518055513956012,4.9617215687441005,2.8869372199811076,3.5913451952844913
1y26y,1,27,4.3270134978726675,3.888022860375346,1.7378700770098188,2.776292047254387,3.973950840833788,1.4558032287407965,4.975432137761198,2.861559271269075,3.5712167908537276
1y27y,1,28,4.3009455847566995,3.854164040250483,1.7312888488061968,2.752813446401183,3.9606668808545784,1.458853805444623,4.987793859702419,2.8355245936077726,3.551477770413557
1y28y,1,29,4.2754297988979175,3.8186292475613506,1.7245788625816456,2.7296591773452756,3.9472119925171945,1.4613086895534633,4.999234359310641,2.809035692016295,3.5319662301240444
1y29y,1,30,4.250211185257134,3.782230790836267,1.7178068410419072,2.7066421516443846,3.9336173911780024,1.4635190403372667,5.010176900787912,2.7822927500027688,3.512519372204265
2y1y,2,3,3.9991365907945555,3.6841005241875946,1.7046359828520357,2.999445376560524,4.689817594558841,0.45964628093472715,4.57437670619755,3.324075611622648,3.674457264769054
2y2y,2,4,4.02359942070343,3.70383266887399,1.6845081656223269,2.9312794679259295,4.505432032689681,0.5254990177108201,4.472989117773236,3.203573651472727,3.610564255915062
2y3y,2,5,4.096146380285445,3.607197292121283,1.671847310957703,2.9065297300162425,4.359525479764813,0.6003141996758395,4.4448803181035546,3.12336041506418,3.588442793502431
2y4y,2,6,4.189861250322493,3.6807985212437084,1.678899450087881,2.90307619803904,4.2476896610570885,0.686698089197955,4.451796899474644,3.0829699727099524,3.5889783980050702
