point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1y1y,1,2,4.136824614124527,4.711813785905743,1.721678685422251,3.3055049494117332,5.1952910834501544,0.25491250749245575,5.124431744934545,3.68693442160979,4.157971309578073
1y2y,1,3,4.001224199050722,4.404479811493451,1.7032368940836664,3.1075712557036805,4.888716519793722,0.3510387688653407,4.823461841587607,3.4678116018135134,3.8771784640902167
1y3y,1,4,3.98878630387794,4.148280627807899,1.686843007128452,3.0049776647108586,4.671755956816318,0.4246564460512613,4.655535700616013,3.3134304056386013,3.7479030063146146
1y4y,1,5,4.0346773648930565,3.9889658228907,1.672150219456501,2.953835436851704,4.505434286565647,0.5016788281092326,4.574601857051468,3.2119008307707455,3.6855704180084303
1y5y,1,6,4.1066932964787615,3.9238075575404623,1.6777706418597347,2.933048246600022,4.374413878842178,0.5882735736359489,4.529972160906194,3.157342994590875,3.657649417530849
1y6y,1,7,4.181823483093922,3.888052992445464,1.6844095486248605,2.926976624837481,4.275075008823167,0.6783830762136899,4.52404540859464,3.122960153048224,3.64150046434503
1y7y,1,8,4.249661243461071,3.8822336089890572,1.6926926932215167,2.9314997990047322,4.203620846216565,0.7587345908122466,4.529383339424954,3.106557508234101,3.634714233488825
1y8y,1,9,4.3047627014835825,3.8832664779390944,1.705721269527893,2.941280538920045,4.154889858404707,0.8311147564063357,4.54050282101254,3.0945880815281512,3.6354535848903935
1y9y,1,10,4.349703228539939,3.8741154960973536,1.7180573346259498,2.958210771984236,4.124972133388512,0.8998378784525427,4.556026129633954,3.089730280053798,3.63987965593794
1y10y,1,11,4.38812750031229,3.8752124501107583,1.7301356083269777,2.9767070927382537,4.104369546897811,0.9636808185409583,4.573834472963678,3.088024972657119,3.6481417632305417
1y11y,1,12,4.420613787945152,3.888770728264579,1.7419586837050447,2.993769355721793,4.089493322897401,1.0226686888874825,4.5936675350463645,3.086969406269392,3.6592109259830132
1y12y,1,13,4.446911864473471,3.909900155433055,1.752864034369923,3.0076469729589568,4.078658251180379,1.0774893507998615,4.615582989274212,3.0852044032799864,3.6713056547068446
1y13y,1,14,4.466696631488977,3.9337252230548354,1.762180272035221,3.0164931887876523,4.0701067616096385,1.1288116174371015,4.639508748820509,3.0812869843865007,3.6825132387680926
1y14y,1,15,4.479594758227125,3.9553812522401763,1.7692303226465662,3.0183992262166788,4.062034745721925,1.1772918277181998,4.665289324228508,3.0737202333515086,3.6908366884475567
1y15y,1,16,4.485369896619529,3.9709099684185705,1.7735231210737854,3.012044741772195,4.052977530806257,1.2233274275346488,4.692637361466846,3.061386303570694,3.6946407031980497
1y16y,1,17,4.484435125827576,3.979923979712234,1.7753182751174958,2.9985816804556134,4.042919631581029,1.2663165780077543,4.720924602179448,3.0447901591261357,3.6939097639488683
1y17y,1,18,4.477344475960002,3.9828711691261627,1.7750492920880674,2.9797256373097185,4.032174103121244,1.305422245225724,4.749425291752718,3.0248040184298888,3.688988158297648
1y18y,1,19,4.464630333607554,3.980147394826561,1.7731368644379155,2.957140095536451,4.021021173721117,1.3398202157242456,4.777398959688397,3.002262707245977,3.680175315044972
1y19y,1,20,4.446809141567236,3.9721101355425095,1.7699922604867568,2.9324505073305605,4.0097168966555445,1.3686956634029435,4.8040943475271884,2.9779735681308814,3.6677376029067235
