point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1y1y,1,2,4.220300156116206,4.817920568795206,1.7722328980320414,3.4062710739871065,5.276118832592618,0.2624790539943192,5.178310260730932,3.780429685354739,4.224913139833504
1y2y,1,3,4.099817476007094,4.504753837264683,1.7504264162288317,3.202801698885532,4.960573187441165,0.3598147236614382,4.871456806852241,3.556158965820683,3.945560841975333
1y3y,1,4,4.077619998605053,4.241734492407191,1.7298073255782704,3.089733040997817,4.739335528144312,0.4371607781427794,4.699404468317378,3.3973049639561466,3.812489422049808
1y4y,1,5,4.11251350700091,4.084305842479759,1.7195208367305168,3.0368203200044395,4.571719815023126,0.516355074734812,4.619099040783034,3.285018078649539,3.747169864254629
1y5y,1,6,4.184193722197836,4.009817182891304,1.7167584907592828,3.0100077564696277,4.438837512420056,0.6037502380440448,4.589155038205879,3.22324826794503,3.7181283379180106
1y6y,1,7,4.252349319696281,3.973563836132976,1.7153298326632958,2.99996478131016,4.338438526826589,0.6904438146049469,4.577536281041772,3.1869315007487344,3.701380585118873
1y7y,1,8,4.319356033564937,3.962231851891516,1.7243644857789422,2.999707099197304,4.266762783350649,0.77333955722669,4.57846805228092,3.175578244888592,3.6941094299259785
1y8y,1,9,4.371101054171832,3.956604907263984,1.736406657752117,3.00597371672282,4.217287805838472,0.8454461295255665,4.5853554009043584,3.153610014596463,3.6939519751187135
1y9y,1,10,4.41237616354378,3.951877249398477,1.743900092548181,3.0224651403845275,4.186560163689227,0.912572497069321,4.596839552912902,3.1491954088621537,3.698142145100472
1y10y,1,11,4.44804183189,3.957096837913569,1.7527208977629696,3.0398760014188286,4.16501751250248,0.974657441772004,4.612502673402828,3.1497630914199037,3.706007556743832
1y11y,1,12,4.478470831879396,3.971609299114967,1.763539343040653,3.054532190844065,4.149065071496097,1.0318621624869848,4.631848510602024,3.148967153833605,3.716354771379687
1y12y,1,13,4.503264615488408,3.991525488116933,1.774836774789133,3.065139940695857,4.137097058521396,1.0850568595796506,4.65431419544288,3.1462006856570643,3.7275726296365033
1y13y,1,14,4.521965122199086,4.012929251795979,1.7851213844081066,3.070296379759704,4.127432330930354,1.1350915684919076,4.679236137719305,3.1407418896333223,3.737916231212077
1y14y,1,15,4.534075942707922,4.031887991847618,1.792918710328915,3.068528233165618,4.1183412608178855,1.182803098422712,4.705886076749467,3.1317950513095743,3.7455547629218384
1y15y,1,16,4.539256231423154,4.045198406750395,1.7971316821975742,3.0588669581067545,4.108415009469828,1.228705884313685,4.733539554461299,3.118775952727609,3.748972226170396
1y16y,1,17,4.53786668006415,4.052585865696113,1.7981229751476406,3.0425025065544617,4.097624214238215,1.272064975271905,4.76162844900852,3.102101728277877,3.748089955775915
1y17y,1,18,4.5304232334275145,4.05445533488131,1.796599584912146,3.021113581322496,4.086251358424628,1.3118519068159429,4.789607223954704,3.082407335739273,3.7431461560017016
1y18y,1,19,4.517421777779154,4.0511630292370375,1.793250444109684,2.996329666118397,4.074546682480661,1.3470548788035488,4.81691255413967,3.060294889931928,3.73433654053625
1y19y,1,20,4.499343420020251,4.04302920411011,1.788751221899913,2.969744344845422,4.062736679757572,1.3766743321859252,4.84296804695459,3.0363423491515262,3.721825499152757
1y20y,1,21,4.476782971611744,4.030424119685943,1.783674414529808,2.942704642984721,4.050983925586234,1.4000418179131693,4.867287653237512,3.011121400600526,3.705886489312603
