,Currency,Tenor,Tenor Ticker,yield,Rolldown
0,AUD,3M,ZI934320 Corp,4.245,
1,AUD,1Y,BH728232 Corp,4.494,0.249
2,AUD,2Y,BK467633 Corp,4.335,-0.159
3,AUD,3Y,ZO541862 Corp,4.268,-0.067
4,AUD,4Y,JV319866 Corp,4.307,0.039
5,AUD,5Y,AM564740 Corp,4.367,0.06
6,AUD,6Y,AQ762933 Corp,4.454,0.087
7,AUD,7Y,BJ391612 Corp,4.563,0.109
8,AUD,8Y,ZO114556 Corp,4.639,0.076
9,AUD,9Y,BP026141 Corp,4.7,0.061
10,AUD,10Y,BV865034 Corp,4.722,0.022
11,AUD,12Y,EK821167 Corp,4.783,0.061
12,AUD,15Y,QJ152182 Corp,4.959,0.176
13,AUD,20Y,AT496992 Corp,5.032,0.073
14,AUD,30Y,BK467634 Corp,5.076,0.044
15,CAD,3M,ZJ917482 Corp,4.982,
16,CAD,6M,ZH417633 Corp,5.054,0.072
17,CAD,1Y,ZH417632 Corp,4.982,-0.072
18,CAD,2Y,ZI172842 Corp,4.409,-0.573
19,CAD,3Y,BP100314 Corp,4.126,-0.283
20,CAD,4Y,BW506722 Corp,3.96,-0.166
21,CAD,5Y,ZK298609 Corp,3.837,-0.123
22,CAD,6Y,AZ801479 Corp,3.804,-0.033
23,CAD,7Y,ZO760437 Corp,3.806,0.002
24,CAD,8Y,BS070923 Corp,3.816,0.01
25,CAD,9Y,BY282503 Corp,3.82,0.004
26,CAD,10Y,ZJ077798 Corp,3.789,-0.031
27,CAD,20Y,EH402098 Corp,3.742,-0.047
28,CAD,30Y,BQ802174 Corp,3.601,-0.141
29,CHF,3M,ZH689575 Corp,1.601,
30,CHF,6M,ZI990709 Corp,1.571,-0.03
31,CHF,1Y,EJ175271 Corp,1.545,-0.026
32,CHF,2Y,EJ749344 Corp,1.299,-0.246
33,CHF,3Y,EK272770 Corp,1.163,-0.136
34,CHF,4Y,EG555662 Corp,1.118,-0.045
35,CHF,5Y,EE190475 Corp,1.064,-0.054
36,CHF,6Y,LW361980 Corp,1.041,-0.023
37,CHF,7Y,EK911264 Corp,1.059,0.018
38,CHF,8Y,EI703556 Corp,1.118,0.059
39,CHF,9Y,AT062170 Corp,1.156,0.038
40,CHF,10Y,EC915295 Corp,1.176,0.02
41,CHF,12Y,EF295541 Corp,1.246,0.07
42,CHF,15Y,BZ664289 Corp,1.283,0.037
43,CHF,20Y,ZK968846 Corp,1.284,0.001
44,CHF,25Y,EC071583 Corp,1.238,-0.046
45,CHF,30Y,AN528255 Corp,1.203,-0.035
46,CHF,40Y,LW075987 Corp,1.146,-0.057
47,CHF,50Y,EK325640 Corp,1.102,-0.044
48,GER,1M,ZM574259 Corp,3.69,
49,GER,3M,ZL003956 Corp,3.775,0.085
50,GER,6M,ZK504301 Corp,3.77,-0.005
51,GER,9M,ZJ685937 Corp,3.713,-0.057
52,GER,1Y,ZH350644 Corp,3.645,-0.068
53,GER,2Y,ZH377511 Corp,3.008,-0.637
54,GER,3Y,BQ312492 Corp,2.777,-0.231
55,GER,4Y,BX303989 Corp,2.641,-0.136
56,GER,5Y,ZK885444 Corp,2.62,-0.021
57,GER,6Y,BZ636318 Corp,2.605,-0.015
58,GER,7Y,ZJ879041 Corp,2.637,0.032
59,GER,8Y,BP980366 Corp,2.615,-0.022
60,GER,9Y,BX334302 Corp,2.662,0.047
61,GER,10Y,ZJ606779 Corp,2.733,0.071
62,GER,15Y,BV982438 Corp,2.967,0.234
63,GER,20Y,EI322934 Corp,3.01,0.043
64,GER,25Y,AP115404 Corp,2.964,-0.046
65,GER,30Y,BY899086 Corp,2.997,0.033
66,GBP,1M,ZK804788 Corp,5.47,
67,GBP,3M,ZI084676 Corp,5.294,-0.176
68,GBP,6M,ZH783240 Corp,5.366,0.072
69,GBP,1Y,EK109396 Corp,4.995,-0.371
70,GBP,2Y,ZN905725 Corp,4.699,-0.296
71,GBP,3Y,BZ554885 Corp,4.424,-0.275
72,GBP,4Y,AM781675 Corp,4.211,-0.213
73,GBP,5Y,ZK981587 Corp,4.316,0.105
74,GBP,6Y,BR181418 Corp,4.257,-0.059
75,GBP,7Y,BH295614 Corp,4.206,-0.051
76,GBP,8Y,BS656441 Corp,4.303,0.097
77,GBP,9Y,EC256595 Corp,4.266,-0.037
78,GBP,10Y,ZN905632 Corp,4.369,0.103
79,GBP,12Y,ZO277567 Corp,4.517,0.148
80,GBP,15Y,BZ691391 Corp,4.694,0.177
81,GBP,20Y,EG506481 Corp,4.812,0.118
82,GBP,25Y,AU379648 Corp,4.831,0.019
83,GBP,30Y,ZM382322 Corp,4.845,0.014
84,GBP,40Y,ZK165791 Corp,4.744,-0.101
85,GBP,50Y,BU075688 Corp,4.402,-0.342
86,JGB,1M,ZI588846 Corp,-0.185,
87,JGB,3M,ZH744069 Corp,-0.202,-0.017
88,JGB,6M,ZH183174 Corp,-0.132,0.07
89,JGB,1Y,ZN003014 Corp,-0.027,0.105
90,JGB,2Y,ZH806302 Corp,0.129,0.156
91,JGB,3Y,QZ413850 Corp,0.189,0.06
