,Currency,Tenor,Tenor Ticker,yield,Rolldown
0,USD,1M,912797JG Govt,5.382,
1,USD,2M,912797JL Govt,5.394,0.012
2,USD,3M,912797HQ Govt,5.375,-0.019
3,USD,4M,912797JZ Govt,5.36,-0.015
4,USD,6M,912797GK Govt,5.245,-0.115
5,USD,1Y,912797JR Govt,4.851,-0.394
6,USD,2Y,91282CJV Govt,4.444,-0.407
7,USD,3Y,91282CJT Govt,4.238,-0.206
8,USD,5Y,91282CJW Govt,4.095,-0.143
9,USD,7Y,91282CJX Govt,4.129,0.034
10,USD,10Y,91282CJJ Govt,4.145,0.016
11,USD,20Y,912810TW Govt,4.443,0.298
12,USD,30Y,912810TV Govt,4.333,-0.11
13,AUD,3M,ZG478317 Corp,4.247,
14,AUD,1Y,BH728232 Corp,4.093,-0.154
15,AUD,2Y,BK467633 Corp,3.798,-0.295
16,AUD,3Y,ZO541862 Corp,3.697,-0.101
17,AUD,4Y,JV319866 Corp,3.695,-0.002
18,AUD,5Y,AM564740 Corp,3.74,0.045
19,AUD,6Y,AQ762933 Corp,3.829,0.089
20,AUD,7Y,BJ391612 Corp,3.935,0.106
21,AUD,8Y,ZO114556 Corp,4.022,0.087
22,AUD,9Y,BP026141 Corp,4.093,0.071
23,AUD,10Y,BV865034 Corp,4.126,0.033
24,AUD,12Y,EK821167 Corp,4.187,0.061
25,AUD,15Y,QJ152182 Corp,4.351,0.164
26,AUD,20Y,AT496992 Corp,4.422,0.071
27,AUD,30Y,ZH519128 Corp,4.479,0.057
28,CAD,3M,ZG016462 Corp,5.051,
29,CAD,6M,ZF707034 Corp,5.041,-0.01
30,CAD,1Y,ZF707035 Corp,4.847,-0.194
31,CAD,2Y,ZH828960 Corp,4.151,-0.696
32,CAD,3Y,BP100314 Corp,3.931,-0.22
33,CAD,4Y,BW506722 Corp,3.722,-0.209
34,CAD,5Y,ZK298609 Corp,3.603,-0.119
35,CAD,6Y,AZ801479 Corp,3.499,-0.104
36,CAD,7Y,ZO760437 Corp,3.48,-0.019
37,CAD,8Y,BS070923 Corp,3.523,0.043
38,CAD,9Y,BY282503 Corp,3.514,-0.009
39,CAD,10Y,ZJ077798 Corp,3.506,-0.008
40,CAD,20Y,EH402098 Corp,3.471,-0.035
41,CAD,30Y,BQ802174 Corp,3.384,-0.087
42,CHF,3M,ZG968420 Corp,1.563,
43,CHF,6M,ZH842519 Corp,1.52,-0.043
44,CHF,1Y,EJ749344 Corp,1.157,-0.363
45,CHF,2Y,EK272770 Corp,1.017,-0.14
46,CHF,3Y,EG555662 Corp,0.935,-0.082
47,CHF,4Y,EE190475 Corp,0.896,-0.039
48,CHF,5Y,LW361980 Corp,0.883,-0.013
49,CHF,6Y,EK911264 Corp,0.864,-0.019
50,CHF,7Y,EI703556 Corp,0.867,0.003
51,CHF,8Y,AT062170 Corp,0.873,0.006
52,CHF,9Y,EC915295 Corp,0.892,0.019
53,CHF,10Y,AZ097833 Corp,0.89,-0.002
54,CHF,12Y,EF295541 Corp,0.906,0.016
55,CHF,15Y,AZ576166 Corp,0.944,0.038
56,CHF,20Y,ZK968846 Corp,0.934,-0.01
57,CHF,25Y,EC071583 Corp,0.925,-0.009
58,CHF,30Y,AN528255 Corp,0.875,-0.05
59,CHF,40Y,LW075987 Corp,0.84,-0.035
60,CHF,50Y,EK325640 Corp,0.758,-0.082
61,DEM,1M,ZL530564 Corp,3.787,
62,DEM,3M,ZK504301 Corp,3.719,-0.068
63,DEM,6M,ZI341182 Corp,3.582,-0.137
64,DEM,9M,ZH350644 Corp,3.468,-0.114
65,DEM,1Y,ZF235134 Corp,3.266,-0.202
66,DEM,2Y,ZF552909 Corp,2.604,-0.662
67,DEM,3Y,BT429341 Corp,2.333,-0.271
68,DEM,4Y,ZM322149 Corp,2.267,-0.066
69,DEM,5Y,ZF268717 Corp,2.229,-0.038
70,DEM,6Y,BZ636318 Corp,2.222,-0.007
71,DEM,7Y,ZJ879041 Corp,2.232,0.01
72,DEM,8Y,BT245031 Corp,2.215,-0.017
73,DEM,9Y,ZM198538 Corp,2.256,0.041
74,DEM,10Y,ZF145153 Corp,2.315,0.059
75,DEM,15Y,BV982438 Corp,2.498,0.183
76,DEM,20Y,EI322934 Corp,2.559,0.061
77,DEM,25Y,AP115404 Corp,2.522,-0.037
78,DEM,30Y,BY899086 Corp,2.527,0.005
79,GBP,1M,ZI593693 Corp,5.27,
80,GBP,3M,ZH783240 Corp,5.211,-0.059
81,GBP,6M,ZF625625 Corp,5.101,-0.11
82,GBP,1Y,EK109396 Corp,4.802,-0.299
83,GBP,2Y,ZN905725 Corp,4.484,-0.318
84,GBP,3Y,BZ554885 Corp,4.136,-0.348
85,GBP,4Y,AM781675 Corp,3.977,-0.159
86,GBP,5Y,ZK981587 Corp,3.989,0.012
87,GBP,6Y,BR181418 Corp,3.896,-0.093
88,GBP,7Y,BH295614 Corp,3.861,-0.035
89,GBP,8Y,BS656441 Corp,3.947,0.086
90,GBP,9Y,EC256595 Corp,3.917,-0.03
91,GBP,10Y,ZN905632 Corp,4.003,0.086
92,GBP,12Y,ZO277567 Corp,4.171,0.168
93,GBP,15Y,BZ691391 Corp,4.358,0.187
94,GBP,20Y,EG506481 Corp,4.529,0.171
95,GBP,25Y,AU379648 Corp,4.591,0.062
96,GBP,30Y,ZM382322 Corp,4.619,0.028
97,GBP,40Y,ZK165791 Corp,4.547,-0.072
98,GBP,50Y,BU075688 Corp,4.22,-0.327
99,JPY,1M,ZG228845 Corp,-0.141,
100,JPY,3M,ZF618931 Corp,-0.141,0.0
101,JPY,6M,ZF023199 Corp,-0.182,-0.041
102,JPY,1Y,ZM763132 Corp,-0.017,0.165
103,JPY,2Y,ZF688007 Corp,0.11,0.127
104,JPY,3Y,AL516835 Corp,0.098,-0.012
105,JPY,4Y,AQ307103 Corp,0.189,0.091
106,JPY,5Y,ZF360535 Corp,0.316,0.127
107,JPY,6Y,ZP316570 Corp,0.329,0.013
108,JPY,7Y,BO911343 Corp,0.441,0.112
109,JPY,8Y,BT330618 Corp,0.528,0.087
110,JPY,9Y,ZM259327 Corp,0.613,0.085
111,JPY,10Y,ZF266659 Corp,0.717,0.104
112,JPY,15Y,AW892884 Corp,1.201,0.484
113,JPY,20Y,ZF423028 Corp,1.503,0.302
114,JPY,30Y,ZF317568 Corp,1.785,0.282
115,JPY,40Y,ZK786267 Corp,2.028,0.243
116,NZD,3M,ZK347427 Corp,5.287,
117,NZD,6M,ZJ850341 Corp,5.227,-0.06
118,NZD,1Y,ZF342461 Corp,5.066,-0.161
119,NZD,2Y,BN787929 Corp,4.69,-0.376
120,NZD,3Y,EK350867 Corp,4.542,-0.148
121,NZD,4Y,BM049358 Corp,4.46,-0.082
122,NZD,5Y,AR670289 Corp,4.443,-0.017
123,NZD,7Y,ZR609878 Corp,4.554,0.111
124,NZD,10Y,QJ109447 Corp,4.628,0.074
125,NZD,15Y,QZ292796 Corp,4.828,0.2
126,NZD,20Y,BK432795 Corp,4.933,0.105
127,NZD,30Y,BR221951 Corp,4.93,-0.003
128,SEK,3M,ZF127503 Corp,3.921,
129,SEK,6M,ZK784279 Corp,3.878,-0.043
130,SEK,1Y,ZG325241 Corp,3.573,-0.305
131,SEK,2Y,EK914594 Corp,2.473,-1.1
132,SEK,4Y,AM216366 Corp,2.286,-0.187
133,SEK,5Y,AS783715 Corp,2.232,-0.054
134,SEK,7Y,BH066135 Corp,2.229,-0.003
135,SEK,8Y,EJ085746 Corp,2.251,0.022
136,SEK,9Y,BW183328 Corp,2.283,0.032
137,SEK,10Y,ZF411707 Corp,2.34,0.057
138,SEK,15Y,EH766910 Corp,2.445,0.105
139,SEK,25Y,BM603929 Corp,2.45,0.005
140,SEK,50Y,BQ090624 Corp,2.714,0.264
141,ITL,3M,ZG350048 Corp,3.755,
142,ITL,6M,ZF533361 Corp,3.774,0.019
143,ITL,1Y,ZF200739 Corp,3.476,-0.298
144,ITL,2Y,ZJ946458 Corp,3.22,-0.256
145,ITL,3Y,ZJ731593 Corp,3.071,-0.149
146,ITL,4Y,AQ935391 Corp,3.116,0.045
147,ITL,5Y,ZH117239 Corp,3.279,0.163
148,ITL,6Y,ZN261333 Corp,3.39,0.111
149,ITL,7Y,ZI836658 Corp,3.498,0.108
150,ITL,8Y,BP968841 Corp,3.588,0.09
151,ITL,9Y,BW152567 Corp,3.693,0.105
152,ITL,10Y,ZI608433 Corp,3.861,0.168
153,ITL,15Y,BW763624 Corp,4.177,0.316
154,ITL,20Y,ZM337817 Corp,4.4,0.223
155,ITL,25Y,AX099966 Corp,4.396,-0.004
156,ITL,30Y,ZL106368 Corp,4.502,0.106
157,ITL,50Y,BO952242 Corp,4.141,-0.361
158,BEF,3M,ZN986167 Corp,3.83,
159,BEF,6M,ZN986214 Corp,3.746,-0.084
160,BEF,1Y,ZG699717 Corp,3.402,-0.344
161,BEF,2Y,EI703992 Corp,2.704,-0.698
162,BEF,3Y,BH472626 Corp,2.547,-0.157
163,BEF,4Y,GG737950 Corp,2.536,-0.011
164,BEF,5Y,AW562359 Corp,2.554,0.018
165,BEF,6Y,ZP512935 Corp,2.616,0.062
166,BEF,7Y,BN483716 Corp,2.714,0.098
167,BEF,8Y,BT590841 Corp,2.777,0.063
168,BEF,9Y,ZM326915 Corp,2.84,0.063
169,BEF,10Y,ZF211108 Corp,2.936,0.096
170,BEF,15Y,UV821479 Corp,3.151,0.215
171,BEF,20Y,ZK656222 Corp,3.319,0.168
172,BEF,30Y,ZL074789 Corp,3.451,0.132
173,BEF,50Y,BN867731 Corp,2.995,-0.456
174,FIM,6M,ZK810494 Corp,3.813,
175,FIM,1Y,ZR363787 Corp,3.499,-0.314
176,FIM,2Y,UV635008 Corp,2.843,-0.656
177,FIM,3Y,BR132664 Corp,2.638,-0.205
178,FIM,4Y,AO938950 Corp,2.564,-0.074
179,FIM,5Y,ZI515323 Corp,2.607,0.043
180,FIM,6Y,AX076434 Corp,2.607,0.0
181,FIM,7Y,ZO180372 Corp,2.65,0.043
182,FIM,8Y,BP579116 Corp,2.7,0.05
183,FIM,9Y,BW793577 Corp,2.759,0.059
184,FIM,10Y,ZK372958 Corp,2.81,0.051
185,FIM,15Y,ZM657628 Corp,3.067,0.257
186,FIM,20Y,BT757472 Corp,3.114,0.047
187,FIM,30Y,BN868227 Corp,2.981,-0.133
188,FRF,1M,ZG646717 Corp,3.815,
189,FRF,3M,ZF793472 Corp,3.838,0.023
190,FRF,6M,ZF322185 Corp,3.745,-0.093
191,FRF,9M,ZH942144 Corp,3.537,-0.208
192,FRF,1Y,ZF621903 Corp,3.362,-0.175
193,FRF,2Y,ZL004994 Corp,2.632,-0.73
194,FRF,3Y,ZF322155 Corp,2.576,-0.056
195,FRF,4Y,BW567746 Corp,2.541,-0.035
196,FRF,5Y,ZK217853 Corp,2.568,0.027
197,FRF,6Y,ZR875468 Corp,2.551,-0.017
198,FRF,7Y,BJ789948 Corp,2.599,0.048
199,FRF,8Y,BO939537 Corp,2.651,0.052
200,FRF,9Y,BX568156 Corp,2.725,0.074
201,FRF,10Y,ZH211111 Corp,2.812,0.087
202,FRF,15Y,BV688282 Corp,3.101,0.289
203,FRF,20Y,BY872148 Corp,3.251,0.15
204,FRF,25Y,AN613632 Corp,3.284,0.033
205,FRF,30Y,ZM888308 Corp,3.363,0.079
206,FRF,50Y,BN616399 Corp,2.906,-0.457
207,GRD,3M,ZF633784 Corp,3.882,
208,GRD,6M,ZG977862 Corp,3.79,-0.092
209,GRD,9M,ZJ065340 Corp,3.615,-0.175
210,GRD,1Y,ZH243231 Corp,3.594,-0.021
211,GRD,2Y,BP390653 Corp,2.633,-0.961
212,GRD,3Y,BH830150 Corp,2.552,-0.081
213,GRD,4Y,ZL899578 Corp,2.852,0.3
214,GRD,5Y,AX520235 Corp,2.893,0.041
215,GRD,6Y,BJ948227 Corp,3.068,0.175
216,GRD,7Y,BN765185 Corp,3.16,0.092
217,GRD,8Y,BT598479 Corp,3.212,0.052
218,GRD,9Y,ZM480429 Corp,3.359,0.147
219,GRD,10Y,ZF660964 Corp,3.482,0.123
220,GRD,15Y,ZJ721843 Corp,3.743,0.261
221,GRD,20Y,AQ182936 Corp,3.849,0.106
222,GRD,30Y,BO621470 Corp,3.779,-0.07
223,IEP,1Y,EI002523 Corp,3.175,
224,IEP,2Y,JV539239 Corp,2.561,-0.614
225,IEP,3Y,BH621641 Corp,2.459,-0.102
226,IEP,4Y,AQ595858 Corp,2.415,-0.044
227,IEP,5Y,AW578484 Corp,2.466,0.051
228,IEP,6Y,EK301094 Corp,2.498,0.032
229,IEP,7Y,AU920470 Corp,2.508,0.01
230,IEP,8Y,BN332357 Corp,2.532,0.024
231,IEP,9Y,AS152974 Corp,2.636,0.104
232,IEP,10Y,ZF276188 Corp,2.74,0.104
233,IEP,15Y,AM012511 Corp,2.88,0.14
234,IEP,20Y,ZM235070 Corp,2.957,0.077
235,IEP,30Y,ZS538210 Corp,3.06,0.103
236,NLG,3M,ZG387568 Corp,3.777,
237,NLG,6M,ZF669392 Corp,3.712,-0.065
238,NLG,2Y,EK819972 Corp,2.931,-0.781
239,NLG,3Y,JK153364 Corp,2.572,-0.359
240,NLG,4Y,AM206618 Corp,2.437,-0.135
241,NLG,5Y,AR698279 Corp,2.433,-0.004
242,NLG,6Y,ZL967985 Corp,2.466,0.033
243,NLG,7Y,BG600491 Corp,2.456,-0.01
244,NLG,8Y,BN942725 Corp,2.487,0.031
245,NLG,9Y,BU490363 Corp,2.546,0.059
246,NLG,10Y,ZM660522 Corp,2.595,0.049
247,NLG,15Y,BP026896 Corp,2.789,0.194
248,NLG,20Y,EI239717 Corp,2.796,0.007
249,NLG,25Y,EK041463 Corp,2.756,-0.04
250,NLG,30Y,BY507280 Corp,2.738,-0.018
251,PTE,3M,ZL512735 Corp,3.663,
252,PTE,6M,ZJ797779 Corp,3.704,0.041
253,PTE,1Y,ZF240924 Corp,3.318,-0.386
254,PTE,2Y,JV651374 Corp,2.452,-0.866
255,PTE,3Y,BH495967 Corp,2.472,0.02
256,PTE,4Y,AQ703194 Corp,2.488,0.016
257,PTE,5Y,AW598631 Corp,2.535,0.047
258,PTE,6Y,ZP353815 Corp,2.669,0.134
259,PTE,7Y,BO969685 Corp,2.772,0.103
260,PTE,8Y,BV750432 Corp,2.865,0.093
261,PTE,9Y,AS176956 Corp,3.009,0.144
262,PTE,10Y,ZF107842 Corp,3.093,0.084
263,PTE,15Y,ZM238514 Corp,3.326,0.233
264,PTE,20Y,EK694347 Corp,3.521,0.195
265,PTE,30Y,BN890947 Corp,3.563,0.042
266,ESP,3M,ZM792750 Corp,3.737,
267,ESP,6M,ZK370168 Corp,3.712,-0.025
268,ESP,9M,ZH240607 Corp,3.571,-0.141
269,ESP,1Y,ZG755843 Corp,3.4,-0.171
270,ESP,2Y,ZM269289 Corp,2.858,-0.542
271,ESP,3Y,ZF056857 Corp,2.807,-0.051
272,ESP,4Y,AQ890751 Corp,2.792,-0.015
273,ESP,5Y,ZH214062 Corp,2.855,0.063
274,ESP,6Y,ZP482028 Corp,2.904,0.049
275,ESP,7Y,BN512734 Corp,2.982,0.078
276,ESP,8Y,BT435302 Corp,3.071,0.089
277,ESP,9Y,ZM635445 Corp,3.167,0.096
278,ESP,10Y,ZK907819 Corp,3.218,0.051
279,ESP,15Y,ZL184548 Corp,3.637,0.419
280,ESP,20Y,BZ142715 Corp,3.759,0.122
281,ESP,25Y,AR391864 Corp,3.8,0.041
282,ESP,30Y,BU361766 Corp,3.89,0.09
283,ESP,50Y,BN990577 Corp,3.845,-0.045
