,2023-10-18 00:00:00
BZ691391 Corp,4.949
BZ376982 Corp,3.711
EG506481 Corp,5.024
AU379648 Corp,5.023
ZM382322 Corp,5.037
ZK165791 Corp,4.921
BU075688 Corp,4.595
ZI309215 Corp,-0.1887
ZH493186 Corp,-0.2074
ZM294992 Corp,3.706
ZK101688 Corp,3.739
ZJ685937 Corp,3.735
ZH350644 Corp,3.708
ZH377511 Corp,3.192
BQ312492 Corp,2.979
BX303989 Corp,2.851
ZI458777 Corp,4.1571
BH728232 Corp,4.3759
BK467633 Corp,4.2562
ZO541862 Corp,4.1697
JV319866 Corp,4.2179
AM564740 Corp,4.2877
AQ762933 Corp,4.3816
BJ391612 Corp,4.4934
AP115404 Corp,3.068
BY899086 Corp,3.092
ZK625917 Corp,5.375
ZJ822012 Corp,5.333
ZH497268 Corp,
EK109396 Corp,5.028
ZN905725 Corp,4.991
BZ554885 Corp,4.783
AM781675 Corp,4.579
ZK981587 Corp,4.697
BR181418 Corp,4.594
BH295614 Corp,4.512
BS656441 Corp,4.597
EC256595 Corp,4.552
EJ749344 Corp,1.251
ZN905632 Corp,4.656
ZO277567 Corp,4.782
EK272770 Corp,1.167
EG555662 Corp,1.153
EE190475 Corp,1.115
LW361980 Corp,1.085
EK911264 Corp,1.084
EI703556 Corp,1.124
AT062170 Corp,1.153
ZK885444 Corp,2.838
EC915295 Corp,1.155
BP977825 Corp,1.161
BZ664289 Corp,1.175
ZK968846 Corp,1.148
EC071583 Corp,1.127
AN528255 Corp,1.075
LW075987 Corp,1.035
EK325640 Corp,0.995
ZH183174 Corp,-0.1404
BZ396061 Corp,-0.077
ZH183180 Corp,0.063
QZ413850 Corp,0.115
AP027592 Corp,0.216
ZH437639 Corp,0.347
ZR885925 Corp,0.401
BN361059 Corp,0.565
BZ636318 Corp,2.83
ZJ879041 Corp,2.842
BP980366 Corp,2.818
BX334302 Corp,2.861
ZJ606779 Corp,2.923
BV982438 Corp,3.111
EI322934 Corp,3.138
ZH365012 Corp,3.99
ZJ946458 Corp,4.132
ZJ731593 Corp,4.171
AO147957 Corp,4.196
ZK796557 Corp,4.351
ZN261333 Corp,4.541
ZI836658 Corp,4.666
BP968841 Corp,4.746
ZO114556 Corp,4.5688
BS070923 Corp,4.17
BH066135 Corp,3.024
EJ085746 Corp,3.019
BW183328 Corp,3.049
EH766910 Corp,3.128
BM603929 Corp,3.089
BQ090624 Corp,3.355
ZK770604 Corp,3.774
ZH087117 Corp,3.982
BP026141 Corp,4.6288
BV865034 Corp,4.6496
EK821167 Corp,4.7128
QJ152182 Corp,4.8976
AT496992 Corp,4.967
BK467634 Corp,5.026
ZJ917482 Corp,5.144
ZH417633 Corp,5.215
ZH417632 Corp,5.276
ZI172842 Corp,4.901
BP100314 Corp,4.638
BR221951 Corp,5.648
ZH166709 Corp,3.863
ZL374181 Corp,3.902
BW506722 Corp,4.449
ZK298609 Corp,4.32
AZ801479 Corp,4.192
ZO760437 Corp,4.184
BR788662 Corp,0.653
BZ503564 Corp,0.74
ZH264747 Corp,0.804
AV122750 Corp,1.277
ZH548728 Corp,1.578
ZH320472 Corp,1.759
ZK786267 Corp,2.032
ZM739209 Corp,5.882
ZI673511 Corp,4.039
EK041769 Corp,3.546
EK914594 Corp,3.253
AM216366 Corp,3.101
AS783715 Corp,3.043
BY282503 Corp,4.14
ZJ077798 Corp,4.074
EH402098 Corp,3.993
BQ802174 Corp,3.786
ZH549633 Corp,1.672
ZI990709 Corp,1.595
EJ175271 Corp,1.561
ZK347427 Corp,5.588
ZH627388 Corp,
JK597058 Corp,5.613
BM049358 Corp,5.357
ZR609878 Corp,5.438
QJ109447 Corp,5.467
QZ292796 Corp,5.632
BK432795 Corp,5.68
BW152567 Corp,4.842
ZK356093 Corp,4.979
BW763624 Corp,5.254
ZM337817 Corp,5.374
AX099966 Corp,5.31
ZL106368 Corp,5.394
BO952242 Corp,4.878
