point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1y1y,1,2,4.0240149657177335,4.078160528364724,0.9661159543448847,2.7085248049244224,4.078868473986459,0.3774114662575624,4.718032445185949,2.8374615740232483,4.002068436518494
1y2y,1,3,3.9788829376819095,3.847139279396293,1.0025151303191047,2.6110613810422647,3.9139943206672303,0.45597070751735846,4.4963096382265,2.701834777091452,3.858400191894336
1y3y,1,4,4.001311982100523,3.701826499029521,1.0441491381384718,2.572993530452013,3.80080198551752,0.5278015216958776,4.411216915228941,2.6279599418760107,3.7995349918458468
1y4y,1,5,4.0655789626264305,3.6487824647291465,1.0722750925153164,2.559787230675886,3.7243487405548836,0.6042570877129563,4.39539443390561,2.5996298424866304,3.772547547323954
1y5y,1,6,4.142001137101491,3.640421458781918,1.1094349284714995,2.563409874258582,3.6796075661491616,0.6825069411463549,4.416496593705615,2.596563694287406,3.7690172051412794
1y6y,1,7,4.218992266082763,3.653624518350652,1.1453081047452909,2.5746333360535485,3.6599774068898814,0.7632222072405003,4.4496586912368565,2.607642019351415,3.771330443005775
1y7y,1,8,4.289836519069238,3.67404118873471,1.1800177817865636,2.5904564315368326,3.6576370997826078,0.8382857932331798,4.487890902106381,2.624577618406916,3.777253400708286
1y8y,1,9,4.349454402776845,3.700512421685001,1.210084928391877,2.6088220646414904,3.6692797233550847,0.9047688733561238,4.525732635664224,2.641934454142611,3.785990234638253
1y9y,1,10,4.397686728411896,3.7170899959236863,1.2434059053802906,2.630121145166988,3.6871956921547815,0.9684063230605061,4.55900826786086,2.6602893748689365,3.795844157979342
1y10y,1,11,4.439381938910477,3.737466396446626,1.2706589814620375,2.65055369677286,3.706982324728854,1.0280594792499025,4.590143443447409,2.6791670134727754,3.8075373946785134
1y11y,1,12,4.475688105982141,3.763802860567987,1.290292854998733,2.6683916672849506,3.7273169124128875,1.0835522481962152,4.620001976886898,2.6973257685260927,3.820475857249871
