"point","aud","cad","chf","eur","gbp","jpy","nzd","sek","usd"
"01y01y",3.903814546859,3.85514045036117,1.31074769402954,2.89387829057741,4.29917007409064,0.218841551826962,4.86070599336916,3.22000993577159,4.12947593281638
"02y01y",3.65209568520301,3.16504681864819,1.46224925380047,2.56855788685708,3.7277471577022,0.325140436683432,4.16880215446396,2.85417863658836,3.26246995647425
"03y01y",3.71945433628264,2.86280659650949,1.53172685475798,2.47180726153216,3.42726166887866,0.386356280368731,3.96088780540647,2.60599348296399,3.14903075912515
"04y01y",3.94180340722387,2.82729293301558,1.62602244936779,2.48655339530987,3.20890953650952,0.50649842401233,3.93346705574162,2.51268578547066,3.17054411268763
"05y01y",4.14434330414581,3.09740790339764,1.7053946093091,2.50844014970354,3.04931228593914,0.684145073655031,4.04710182937392,2.55671071773783,3.26568676567741
"06y01y",4.22823380165127,3.26770960864404,1.80459475475234,2.55630187009615,2.87265635800994,0.834740516510734,4.11383633612622,2.44724266918313,3.26957881664329
"07y01y",4.32424203323796,3.38784381353939,1.86406757680896,2.63013090382152,2.82380395725372,0.912431391741122,4.16328614221118,2.56043186424213,3.30501606873401
"08y01y",4.34152410171164,3.39679053605267,1.86400554463679,2.69833209066489,2.71855650486354,1.00431820782687,4.14596653941332,2.64623639480281,3.39548496803729
"09y01y",4.31179092457182,3.3702450544253,1.95819636673731,2.78853298563335,3.03266930709115,1.09393208719765,4.1608018198463,2.54691051966505,3.48270083530741
"10y01y",4.35631151051067,3.48216118267384,2.02147536188295,2.78896084996692,3.07531520101145,1.18482578768498,4.2243976125056,2.47885373873545,3.53612461474463
"11y01y",4.40325472746334,3.62765455855937,2.04951227269183,2.73886410692508,3.00089610925849,1.27337987247124,4.29441534908177,2.43354908223261,3.57432049496947
"12y01y",4.41482945017549,3.74981254557926,2.05329193785857,2.65834320738202,2.93642926143561,1.35676503040387,4.35277047678832,2.38842203107633,3.59859733178673
"13y01y",4.38116033691711,3.83151061674881,2.02876531204895,2.54398552482229,2.88691312834594,1.43475380929101,4.38982072500659,2.34381021111695,3.60153357659334
"14y01y",4.29237040797903,3.85564406779227,1.97188075347636,2.39236977827481,2.85734968763159,1.50711880606472,4.39592628229684,2.30005134155692,3.57570824384571
"15y01y",4.14915291664829,3.81635502698373,1.88497330985763,2.20843940117704,2.84784406835701,1.57255870663077,4.36973317712041,2.25737970624522,3.51914523801637
"16y01y",3.9892088126583,3.74710196166229,1.79274112130839,2.02645235861447,2.84135078897862,1.62601539949131,4.33888248660748,2.2156672843574,3.44892624911528
"17y01y",3.82776240240974,3.65744706414448,1.70629611960577,1.86288887862928,2.83122742678281,1.66471670188308,4.31340882099103,2.17500604048568,3.37056057824169
"18y01y",3.67078677333744,3.54711535628354,1.63116055549457,1.7269183552612,2.81511674764086,1.68683117459276,4.29609783368422,2.13557856317333,3.28479252297792
"19y01y",3.52425896840241,3.41582835430106,1.57286082141606,1.62772587952559,2.79066096483394,1.69052745977465,4.28973547548128,2.09756748581076,3.19236628899655
"20y01y",3.3920287327029,3.2677242892955,1.53252785301946,1.56572101226535,2.75762986558374,1.67706439333292,4.29493317623615,2.06114731420259,3.09565539693454
"21y01y",3.27074156241456,3.12188612654952,1.49641965722272,1.51159365801734,2.72298937113366,1.65814585213568,4.30494980782377,2.02646496739977,3.00254287115865
"22y01y",3.16201773135555,2.98708954697537,1.46105746733262,1.4565177073156,2.68874167324843,1.63825702009226,4.31811849744144,1.99368645918071,2.9171119570842
"23y01y",3.0694082662036,2.86811778932687,1.42694270667931,1.39961452469499,2.65496378007701,1.6190853823929,4.33473992627503,1.96298522732191,2.84197316434077
