,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1,4,2,2,2,2,2,4,4,4
2,8,4,4,4,4,4,8,8,8
3,12,6,6,6,6,6,12,12,12
4,16,8,8,8,8,8,16,16,16
5,20,10,10,10,10,10,20,20,20
6,24,12,12,12,12,12,24,24,24
7,28,14,14,14,14,14,28,28,28
8,32,16,16,16,16,16,32,32,32
9,36,18,18,18,18,18,36,36,36
10,40,20,20,20,20,20,40,40,40
11,44,22,22,22,22,22,44,44,44
12,48,24,24,24,24,24,48,48,48
13,52,26,26,26,26,26,52,52,52
14,56,28,28,28,28,28,56,56,56
15,60,30,30,30,30,30,60,60,60
16,64,32,32,32,32,32,64,64,64
17,68,34,34,34,34,34,68,68,68
18,72,36,36,36,36,36,72,72,72
19,76,38,38,38,38,38,76,76,76
20,80,40,40,40,40,40,80,80,80
21,84,42,42,42,42,42,84,84,84
22,88,44,44,44,44,44,88,88,88
23,92,46,46,46,46,46,92,92,92
24,96,48,48,48,48,48,96,96,96
25,100,50,50,50,50,50,100,100,100
26,104,52,52,52,52,52,104,104,104
27,108,54,54,54,54,54,108,108,108
28,112,56,56,56,56,56,112,112,112
29,116,58,58,58,58,58,116,116,116
30,120,60,60,60,60,60,120,120,120
