point,t1,t2,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1y1y,1,2,3.9969076174207445,4.100630473705974,0.9755570468940173,2.766419796121743,4.162453784236061,0.3709689772388556,4.47945558980956,2.9361510034670095,4.0335420408240585
1y2y,1,3,3.9385067814146484,3.866708264260849,1.0180258634915982,2.66147631810965,3.9890783932265133,0.44957115321524416,4.2882781984161555,2.785051433636391,3.8689121555184043
1y3y,1,4,3.9632976202916086,3.71612489699265,1.0533292887138368,2.6146106114207353,3.870939145429395,0.5156701127654484,4.216204964965777,2.705694951714011,3.790777971465012
1y4y,1,5,4.030612237344343,3.645708939538443,1.0842561706889584,2.5960159761237507,3.790122048401707,0.5907880988461729,4.2178358744693325,2.6701310418151736,3.7533818469255573
1y5y,1,6,4.106997357973637,3.635666377173742,1.1224987485036428,2.5954953284470634,3.740407961601207,0.6650115864211849,4.250454666699971,2.6604978097364307,3.7418612524782935
1y6y,1,7,4.185291700759614,3.6465222357664704,1.1595899470664923,2.6024917128843765,3.715218843618582,0.7472732511828492,4.30186769961102,2.666815154222574,3.7391435995708253
1y7y,1,8,4.255877538738123,3.6677290967676752,1.1921868403517564,2.6173232003527658,3.708707384924529,0.8189983854887277,4.35763310127575,2.6791854943314557,3.74203860637199
1y8y,1,9,4.316602075870693,3.6891157026517627,1.2214149289410974,2.633908638631697,3.7165974971900524,0.882731493853766,4.3995050895590815,2.6927701996813127,3.7492596502336886
1y9y,1,10,4.364636553463774,3.710109787585795,1.252868401906996,2.6530771222730585,3.73204177305111,0.9455604186143045,4.4430349506641935,2.7117654129362654,3.757890760724514
1y10y,1,11,4.405778342993016,3.734353917789026,1.2805501660615695,2.6716305440946786,3.750154906592249,1.0048227771420961,4.480879001504381,2.730659078593799,3.768274388870224
1y11y,1,12,4.441581711863223,3.7611292725595677,1.303138657118062,2.6878420989549814,3.769288884625557,1.0600343384494615,4.51171976520567,2.7472336484858175,3.779873034033775
1y12y,1,13,4.471742380573779,3.7883723716544964,1.3213348185496172,2.700689243960741,3.788326503141775,1.1118864589032142,4.5377774714278205,2.7608079000969443,3.7915369596248962
1y13y,1,14,4.495888488847192,3.8139230990613164,1.3357565922389394,2.7090303691747546,3.806031823806968,1.1610514632230644,4.561025899590929,2.7705673321668756,3.8020011282944326
1y14y,1,15,4.513604580277299,3.8355595867985484,1.3469685109677056,2.711647182497974,3.821092725839307,1.2081892340764588,4.583280357050158,2.7756117281515453,3.8099264190024233
1y15y,1,16,4.524639038063735,3.8514417945071364,1.3554629367968565,2.707701126078449,3.8324971581373366,1.2536961933731807,4.605840637804011,2.7752729207648366,3.8141997617435397
1y16y,1,17,4.52948623570024,3.8613794985091,1.3615627241195707,2.698029202499961,3.8405903524928577,1.296951253774878,4.6283075049837255,2.769991387385459,3.814767269560962
1y17y,1,18,4.528804813629683,3.8655536776465107,1.3655395921681408,2.683842892827216,3.846017688936815,1.337093922876107,4.649851004715833,2.760447779909144,3.811806209715761
1y18y,1,19,4.523231215456873,3.8641048957804696,1.3676549694144893,2.6663099543329087,3.8493855159451362,1.373276891193936,4.669628995187701,2.7472853042246417,3.805459928566895
1y19y,1,20,4.513385558945063,3.857143841750573,1.3681627024490481,2.6465661253930683,3.851271443408048,1.4046625582261094,4.686790375660316,2.731119607890383,3.795846764557261
1y20y,1,21,4.4999085764976705,3.8449249691382437,1.3672867298789284,2.6256011338413145,3.852135670791718,1.4306865486088889,4.7007023067331195,2.7126033431842522,3.78317062747456
1y21y,1,22,4.483562429119599,3.828347660362081,1.365150201796582,2.6039000858751256,3.8520402290135953,1.4518488492946358,4.711622615558161,2.6926030048952674,3.76803661848608
1y22y,1,23,4.465133651019854,3.8084572263650593,1.361849776186748,2.5818172378229693,3.850942841966915,1.4689071131800862,4.7200200406237816,2.672028163687131,3.7511385997735895
1y23y,1,24,4.445402158384741,3.7862825802885642,1.3574804388272947,2.5597005853338004,3.8487950275542757,1.4826112983280915,4.726351367866733,2.6517768150507877,3.7331578587551024
1y24y,1,25,4.42514273150618,3.7628398286047617,1.352135853491226,2.5378931995656617,3.8455433847043565,1.4937052950027867,4.731063927712564,2.632737828231526,3.714765766678929
1y25y,1,26,4.404990831344372,3.7389760245930854,1.3459237189383177,2.5166548512912974,3.8411781820178286,1.5028713455694853,4.734563573289827,2.615573958825812,3.696505781607341
