point,aud,cad,chf,eur,gbp,jpy,nzd,sek,usd
1y1y,-0.19766916290808556,-0.24785945923064023,-0.4481213423078876,-0.9358349740787331,-0.8198995784698431,0.2947620764308032,-0.7902200746849894,-0.9466770071427506,-1.1075728512702545
1y2y,-0.19588638158946647,-1.1479958667456964,-0.22500724064344246,-0.6244942781531915,-0.6275617857715856,0.2645420917173944,-0.5711214365455444,-0.6827881894060583,-0.7825766108037442
1y3y,-0.10537868639271952,-0.608265035097812,-0.13872850011035975,-0.4157014496935778,-0.49012271002444585,0.2368016530671863,-0.3969926149910039,-0.4733770959894241,-0.5300808750205093
1y4y,-0.03673111164554044,-0.45659449358306947,-0.09065729138938261,-0.2951684792944693,-0.4046439720198536,0.217770578437067,-0.28430669596438474,-0.3533875246599596,-0.3878925528227737
1y5y,0.0037847464214060267,-0.3514078837407064,-0.054435792469814226,-0.22618734826981912,-0.33389885363893157,0.20698204526671415,-0.20377929914227,-0.2680907479232446,-0.2976578647259269
1y6y,0.022758669080200633,-0.20385679782173804,-0.02749386345152338,-0.17830686108533778,-0.2789225262188255,0.20296060459870569,-0.15179411005227195,-0.2133172792877276,-0.24460474808213828
1y7y,0.027213390039378282,-0.26987813188401955,-0.014389895976306022,-0.1469565074062622,-0.2343414821756813,0.18786661573163077,-0.11983237038960226,-0.17659441328662462,-0.20453320991818735
1y8y,0.025597124607000588,-0.19122495072755763,-0.010732464227625416,-0.12326728671626164,-0.1990786216014233,0.17599287433532662,-0.09945799949842549,-0.15029360441661765,-0.1742894097935772
1y9y,0.019324225157766328,-0.16677941311281286,-0.007619037477264667,-0.10409935748563148,-0.1717815022653184,0.16903841893258487,-0.0861578501300242,-0.1304034043973612,-0.15304147952582392
1y10y,0.01683767039965023,-0.15223850751229362,-0.005435677455192467,-0.09180567893275748,-0.15394158170740413,0.16023631808193262,-0.0769979318490881,-0.11468530676749733,-0.13552855406494757
1y11y,0.014570320379399426,-0.13622553557935113,-0.004496366830037957,-0.08393552942694082,-0.14071499973129198,0.15147436383080115,-0.07014123338814215,-0.10291527694228142,-0.12151557588442641
1y12y,0.011060905700169599,-0.12444812134523486,-0.004554078064387124,-0.07934259447052616,-0.13036066065034824,0.14370214360408262,-0.064898826222894,-0.09485719382206703,-0.11095868297995048
1y13y,0.00640860003186372,-0.11660427855955291,-0.0054489276359190875,-0.07771902163781208,-0.12257290035046697,0.13694382726948273,-0.06092994717894307,-0.09023836345412128,-0.10354014918605658
1y14y,0.0006868018583761071,-0.1124645769685908,-0.007066099789232894,-0.07883786002050108,-0.11712637305213436,0.13121516539225708,-0.0579907130404651,-0.08885982855197039,-0.09902828179955492
1y15y,-0.0058436446232033035,-0.11141462952076298,-0.009188884721385682,-0.08203137759947365,-0.11358914205029969,0.12622765905871614,-0.055829855839976794,-0.09005165130091175,-0.09693792884790486
1y16y,-0.012315719385678214,-0.1115683734220263,-0.0112221467559519,-0.08517599942753273,-0.11078258652383921,0.1207864257036182,-0.0540231951041239,-0.09160443971514454,-0.09588422640898653
1y17y,-0.018458553841389502,-0.11232031705334489,-0.012961780912563725,-0.08760138316207966,-0.10830843940356338,0.11454476453176321,-0.05238449159735126,-0.0928164471742452,-0.0953998547678161
1y18y,-0.024214108823664482,-0.11352294643407079,-0.01434687167731008,-0.0891572076369318,-0.10605169583535634,0.10745438249497186,-0.05082282186144038,-0.09352582206120452,-0.09535076873810366
1y19y,-0.029537986648437098,-0.11506083619052276,-0.015330135855364802,-0.08972876858804035,-0.10392271664899866,0.099479327833643,-0.0492671694767548,-0.09360632726854279,-0.09563158508578162
