Currency,Tenor,Tenor Ticker,Rolldown
AUD,3M,ZI458777 Corp,
AUD,1Y,BH728232 Corp,0.23
AUD,2Y,BK467633 Corp,-0.131
AUD,3Y,ZO541862 Corp,-0.086
AUD,4Y,JV319866 Corp,0.051
AUD,5Y,AM564740 Corp,0.076
AUD,6Y,AQ762933 Corp,0.091
AUD,7Y,BJ391612 Corp,0.112
AUD,8Y,ZO114556 Corp,0.066
AUD,9Y,BP026141 Corp,0.058
AUD,10Y,BV865034 Corp,0.018
AUD,12Y,EK821167 Corp,0.065
AUD,15Y,QJ152182 Corp,0.187
AUD,20Y,AT496992 Corp,0.07
AUD,30Y,BK467634 Corp,0.052
CAD,3M,ZJ917482 Corp,
CAD,6M,ZH417633 Corp,0.023
CAD,1Y,ZH417632 Corp,0.015
CAD,2Y,ZI172842 Corp,-0.528
CAD,3Y,BP100314 Corp,-0.246
CAD,4Y,BW506722 Corp,-0.168
CAD,5Y,ZK298609 Corp,-0.12
CAD,6Y,AZ801479 Corp,-0.079
CAD,7Y,ZO760437 Corp,-0.003
CAD,8Y,BS070923 Corp,-0.011
CAD,9Y,BY282503 Corp,-0.018
CAD,10Y,ZJ077798 Corp,-0.057
CAD,20Y,EH402098 Corp,-0.058
CAD,30Y,BQ802174 Corp,-0.187
CHF,3M,ZH549633 Corp,
CHF,6M,ZI990709 Corp,0.003
CHF,1Y,EJ175271 Corp,-0.037
CHF,2Y,EJ749344 Corp,-0.345
CHF,3Y,EK272770 Corp,-0.115
CHF,4Y,EG555662 Corp,-0.038
CHF,5Y,EE190475 Corp,-0.039
CHF,6Y,LW361980 Corp,-0.033
CHF,7Y,EK911264 Corp,0.021
CHF,8Y,EI703556 Corp,0.04
CHF,9Y,AT062170 Corp,0.036
CHF,10Y,EC915295 Corp,0.0
CHF,12Y,BP977825 Corp,0.022
CHF,15Y,BZ664289 Corp,0.016
CHF,20Y,ZK968846 Corp,0.004
CHF,25Y,EC071583 Corp,-0.044
CHF,30Y,AN528255 Corp,-0.061
CHF,40Y,LW075987 Corp,-0.049
CHF,50Y,EK325640 Corp,-0.03
GER,1M,BZ376982 Corp,
GER,3M,ZM294992 Corp,0.038
GER,6M,ZK101688 Corp,0.026
GER,9M,ZJ685937 Corp,-0.025
GER,1Y,ZH350644 Corp,-0.053
GER,2Y,ZH377511 Corp,-0.58
GER,3Y,BQ312492 Corp,-0.226
GER,4Y,BX303989 Corp,-0.117
GER,5Y,ZK885444 Corp,-0.015
GER,6Y,BZ636318 Corp,-0.006
GER,7Y,ZJ879041 Corp,0.022
GER,8Y,BP980366 Corp,-0.021
GER,9Y,BX334302 Corp,0.046
GER,10Y,ZJ606779 Corp,0.066
GER,15Y,BV982438 Corp,0.215
GER,20Y,EI322934 Corp,0.035
GER,25Y,AP115404 Corp,-0.051
GER,30Y,BY899086 Corp,0.024
GBP,1M,ZK625917 Corp,
GBP,3M,ZJ822012 Corp,-0.04
GBP,6M,ZH497268 Corp,0.092
GBP,1Y,EK109396 Corp,-0.497
GBP,2Y,ZN905725 Corp,-0.089
GBP,3Y,BZ554885 Corp,-0.199
GBP,4Y,AM781675 Corp,-0.214
GBP,5Y,ZK981587 Corp,0.131
GBP,6Y,BR181418 Corp,-0.08
GBP,7Y,BH295614 Corp,-0.049
GBP,8Y,BS656441 Corp,0.08
GBP,9Y,EC256595 Corp,-0.034
GBP,10Y,ZN905632 Corp,0.109
GBP,12Y,ZO277567 Corp,0.142
GBP,15Y,BZ691391 Corp,0.182
GBP,20Y,EG506481 Corp,0.105
GBP,25Y,AU379648 Corp,0.017
GBP,30Y,ZM382322 Corp,0.015
GBP,40Y,ZK165791 Corp,-0.112
GBP,50Y,BU075688 Corp,-0.332
JGB,1M,ZI309215 Corp,
JGB,3M,ZH493186 Corp,0.019
JGB,6M,ZH183174 Corp,0.018
JGB,1Y,BZ396061 Corp,0.068
JGB,2Y,ZH183180 Corp,0.142
JGB,3Y,QZ413850 Corp,0.055
JGB,4Y,AP027592 Corp,0.105
JGB,5Y,ZH437639 Corp,0.127
JGB,6Y,ZR885925 Corp,0.073
JGB,7Y,BN361059 Corp,0.168
JGB,8Y,BR788662 Corp,0.107
JGB,9Y,BZ503564 Corp,0.091
JGB,10Y,ZH264747 Corp,0.055
JGB,15Y,AV122750 Corp,0.492
JGB,20Y,ZH548728 Corp,0.29
JGB,30Y,ZH320472 Corp,0.204
JGB,40Y,ZK786267 Corp,0.269
nzd,3M,ZM739209 Corp,
nzd,6M,ZK347427 Corp,-0.286
nzd,1Y,ZH627388 Corp,0.001
nzd,2Y,JK597058 Corp,0.019
nzd,5Y,BM049358 Corp,-0.327
nzd,7Y,ZR609878 Corp,0.115
nzd,10Y,QJ109447 Corp,0.04
nzd,15Y,QZ292796 Corp,0.158
nzd,20Y,BK432795 Corp,0.044
nzd,30Y,BR221951 Corp,-0.056
sek,3M,ZH166709 Corp,
sek,6M,ZL374181 Corp,0.056
