,Currency,Tenor,Tenor Ticker,Rolldown,last_week_yield,ccy_test,last_week_rolldown
0,AUD,3M,ZI458777 Corp,,4.1571,False,
1,AUD,1Y,BH728232 Corp,0.23,4.3759,True,0.21879999999999988
2,AUD,2Y,BK467633 Corp,-0.131,4.2562,True,-0.11969999999999992
3,AUD,3Y,ZO541862 Corp,-0.086,4.1697,True,-0.08650000000000002
4,AUD,4Y,JV319866 Corp,0.051,4.2179,True,0.048200000000000465
5,AUD,5Y,AM564740 Corp,0.076,4.2877,True,0.06979999999999986
6,AUD,6Y,AQ762933 Corp,0.091,4.3816,True,0.09389999999999965
7,AUD,7Y,BJ391612 Corp,0.112,4.4934,True,0.11180000000000057
8,AUD,8Y,ZO114556 Corp,0.066,4.5688,True,0.07540000000000013
9,AUD,9Y,BP026141 Corp,0.058,4.6288,True,0.05999999999999961
10,AUD,10Y,BV865034 Corp,0.018,4.6496,True,0.020800000000000374
11,AUD,12Y,EK821167 Corp,0.065,4.7128,True,0.06319999999999926
12,AUD,15Y,QJ152182 Corp,0.187,4.8976,True,0.18480000000000008
13,AUD,20Y,AT496992 Corp,0.07,4.967,True,0.0693999999999999
14,AUD,30Y,BK467634 Corp,0.052,5.026,True,0.05900000000000016
15,CAD,3M,ZJ917482 Corp,,5.144,False,
16,CAD,6M,ZH417633 Corp,0.023,5.215,True,0.07099999999999973
17,CAD,1Y,ZH417632 Corp,0.015,5.276,True,0.06099999999999994
18,CAD,2Y,ZI172842 Corp,-0.528,4.901,True,-0.375
19,CAD,3Y,BP100314 Corp,-0.246,4.638,True,-0.2629999999999999
20,CAD,4Y,BW506722 Corp,-0.168,4.449,True,-0.18900000000000006
21,CAD,5Y,ZK298609 Corp,-0.12,4.32,True,-0.12899999999999956
22,CAD,6Y,AZ801479 Corp,-0.079,4.192,True,-0.1280000000000001
23,CAD,7Y,ZO760437 Corp,-0.003,4.184,True,-0.008000000000000007
24,CAD,8Y,BS070923 Corp,-0.011,4.17,True,-0.014000000000000234
25,CAD,9Y,BY282503 Corp,-0.018,4.14,True,-0.03000000000000025
26,CAD,10Y,ZJ077798 Corp,-0.057,4.074,True,-0.06599999999999984
27,CAD,20Y,EH402098 Corp,-0.058,3.993,True,-0.08099999999999996
28,CAD,30Y,BQ802174 Corp,-0.187,3.786,True,-0.20699999999999985
29,CHF,3M,ZH549633 Corp,,1.672,False,
30,CHF,6M,ZI990709 Corp,0.003,1.595,True,-0.07699999999999996
31,CHF,1Y,EJ175271 Corp,-0.037,1.561,True,-0.03400000000000003
32,CHF,2Y,EJ749344 Corp,-0.345,1.251,True,-0.31000000000000005
33,CHF,3Y,EK272770 Corp,-0.115,1.167,True,-0.08399999999999985
34,CHF,4Y,EG555662 Corp,-0.038,1.153,True,-0.014000000000000012
35,CHF,5Y,EE190475 Corp,-0.039,1.115,True,-0.038000000000000034
36,CHF,6Y,LW361980 Corp,-0.033,1.085,True,-0.030000000000000027
37,CHF,7Y,EK911264 Corp,0.021,1.084,True,-0.0009999999999998899
38,CHF,8Y,EI703556 Corp,0.04,1.124,True,0.040000000000000036
39,CHF,9Y,AT062170 Corp,0.036,1.153,True,0.028999999999999915
40,CHF,10Y,EC915295 Corp,0.0,1.155,True,0.0020000000000000018
41,CHF,12Y,BP977825 Corp,0.022,1.161,True,0.006000000000000005
42,CHF,15Y,BZ664289 Corp,0.016,1.175,True,0.014000000000000012
43,CHF,20Y,ZK968846 Corp,0.004,1.148,True,-0.027000000000000135
44,CHF,25Y,EC071583 Corp,-0.044,1.127,True,-0.020999999999999908
45,CHF,30Y,AN528255 Corp,-0.061,1.075,True,-0.052000000000000046
46,CHF,40Y,LW075987 Corp,-0.049,1.035,True,-0.040000000000000036
47,CHF,50Y,EK325640 Corp,-0.03,0.995,True,-0.039999999999999925
48,GER,1M,BZ376982 Corp,,3.711,False,
49,GER,3M,ZM294992 Corp,0.038,3.706,True,-0.004999999999999893
50,GER,6M,ZK101688 Corp,0.026,3.739,True,0.03299999999999992
51,GER,9M,ZJ685937 Corp,-0.025,3.735,True,-0.0040000000000000036
52,GER,1Y,ZH350644 Corp,-0.053,3.708,True,-0.02699999999999969
53,GER,2Y,ZH377511 Corp,-0.58,3.192,True,-0.516
54,GER,3Y,BQ312492 Corp,-0.226,2.979,True,-0.21300000000000008
55,GER,4Y,BX303989 Corp,-0.117,2.851,True,-0.1280000000000001
56,GER,5Y,ZK885444 Corp,-0.015,2.838,True,-0.0129999999999999
57,GER,6Y,BZ636318 Corp,-0.006,2.83,True,-0.008000000000000007
58,GER,7Y,ZJ879041 Corp,0.022,2.842,True,0.01200000000000001
59,GER,8Y,BP980366 Corp,-0.021,2.818,True,-0.02400000000000002
60,GER,9Y,BX334302 Corp,0.046,2.861,True,0.04300000000000015
61,GER,10Y,ZJ606779 Corp,0.066,2.923,True,0.06199999999999983
62,GER,15Y,BV982438 Corp,0.215,3.111,True,0.18800000000000017
63,GER,20Y,EI322934 Corp,0.035,3.138,True,0.02699999999999969
64,GER,25Y,AP115404 Corp,-0.051,3.068,True,-0.06999999999999984
65,GER,30Y,BY899086 Corp,0.024,3.092,True,0.02400000000000002
66,GBP,1M,ZK625917 Corp,,5.375,False,
67,GBP,3M,ZJ822012 Corp,-0.04,5.333,True,-0.041999999999999815
68,GBP,6M,ZH497268 Corp,0.092,,True,
69,GBP,1Y,EK109396 Corp,-0.497,5.028,True,
70,GBP,2Y,ZN905725 Corp,-0.089,4.991,True,-0.03699999999999992
71,GBP,3Y,BZ554885 Corp,-0.199,4.783,True,-0.2079999999999993
72,GBP,4Y,AM781675 Corp,-0.214,4.579,True,-0.20400000000000063
73,GBP,5Y,ZK981587 Corp,0.131,4.697,True,0.11800000000000033
74,GBP,6Y,BR181418 Corp,-0.08,4.594,True,-0.10299999999999976
75,GBP,7Y,BH295614 Corp,-0.049,4.512,True,-0.08200000000000074
76,GBP,8Y,BS656441 Corp,0.08,4.597,True,0.08500000000000085
77,GBP,9Y,EC256595 Corp,-0.034,4.552,True,-0.04500000000000082
78,GBP,10Y,ZN905632 Corp,0.109,4.656,True,0.10400000000000009
79,GBP,12Y,ZO277567 Corp,0.142,4.782,True,0.12600000000000033
80,GBP,15Y,BZ691391 Corp,0.182,4.949,True,0.16699999999999982
81,GBP,20Y,EG506481 Corp,0.105,5.024,True,0.07500000000000018
82,GBP,25Y,AU379648 Corp,0.017,5.023,True,-0.001000000000000334
83,GBP,30Y,ZM382322 Corp,0.015,5.037,True,0.014000000000000234
84,GBP,40Y,ZK165791 Corp,-0.112,4.921,True,-0.11599999999999966
85,GBP,50Y,BU075688 Corp,-0.332,4.595,True,-0.3260000000000005
86,JGB,1M,ZI309215 Corp,,-0.1887,False,
87,JGB,3M,ZH493186 Corp,0.019,-0.2074,True,-0.018699999999999994
88,JGB,6M,ZH183174 Corp,0.018,-0.1404,True,0.067
89,JGB,1Y,BZ396061 Corp,0.068,-0.077,True,0.0634
90,JGB,2Y,ZH183180 Corp,0.142,0.063,True,0.14
91,JGB,3Y,QZ413850 Corp,0.055,0.115,True,0.052000000000000005
92,JGB,4Y,AP027592 Corp,0.105,0.216,True,0.10099999999999999
93,JGB,5Y,ZH437639 Corp,0.127,0.347,True,0.13099999999999998
94,JGB,6Y,ZR885925 Corp,0.073,0.401,True,0.05400000000000005
95,JGB,7Y,BN361059 Corp,0.168,0.565,True,0.16399999999999992
96,JGB,8Y,BR788662 Corp,0.107,0.653,True,0.08800000000000008
97,JGB,9Y,BZ503564 Corp,0.091,0.74,True,0.08699999999999997
98,JGB,10Y,ZH264747 Corp,0.055,0.804,True,0.06400000000000006
99,JGB,15Y,AV122750 Corp,0.492,1.277,True,0.47299999999999986
